t	x
730.5	4009.61
730.6	4014.78
730.7	4019.95
730.8	4025.12
730.9	4030.29
731.0	4035.46
731.1	4040.63
731.2	4045.8
731.3	4050.97
731.4	4056.14
731.5	4061.31
731.6	4066.48
731.7	4071.65
731.8	4076.82
731.9	4081.99
732.0	4087.16
732.1	4092.33
732.2	4097.5
732.3	4102.67
732.4	4107.84
732.5	4113.01
732.6	4118.18
732.7	4123.35
732.8	4128.52
732.9	4133.69
733.0	4138.86
733.1	4144.03
733.2	4149.2
733.3	4154.37
733.4	4159.54
733.5	4164.71
733.6	4169.88
733.7	4175.05
733.8	4180.22
733.9	4185.39
734.0	4190.56
734.1	4195.73
734.2	4200.9
734.3	4206.07
734.4	4211.24
734.5	4216.41
734.6	4221.58
734.7	4226.75
734.8	4231.92
734.9	4237.09
735.0	4242.26
735.1	4247.43
735.2	4252.6
735.3	4257.77
735.4	4262.94
735.5	4268.11
735.6	4273.28
735.7	4278.45
735.8	4283.62
735.9	4288.79
736.0	4293.96
736.1	4299.13
736.2	4304.3
736.3	4309.47
736.4	4314.64
736.5	4319.81
736.6	4324.98
736.7	4330.15
736.8	4335.32
736.9	4340.49
737.0	4345.66
737.1	4350.83
737.2	4356.0
737.3	4361.17
737.4	4366.34
737.5	4371.51
737.6	4376.68
737.7	4381.85
737.8	4387.02
737.9	4392.19
738.0	4397.36
738.1	4402.53
738.2	4407.7
738.3	4412.87
738.4	4418.04
738.5	4423.21
738.6	4428.38
738.7	4433.55
738.8	4438.72
738.9	4443.89
739.0	4449.06
739.1	4454.23
739.2	4459.4
739.3	4464.57
739.4	4469.74
739.5	4474.91
739.6	4480.08
739.7	4485.25
739.8	4490.42
739.9	4495.59
740.0	4500.76
740.1	4505.93
740.2	4511.1
740.3	4516.27
740.4	4521.44
740.5	4526.61
740.6	4531.78
740.7	4536.95
740.8	4542.12
740.9	4547.29
741.0	4552.46
741.1	4557.63
741.2	4562.8
741.3	4567.97
741.4	4573.14
741.5	4578.31
741.6	4583.48
741.7	4588.65
741.8	4593.82
741.9	4598.99
742.0	4604.16
742.1	4609.33
742.2	4614.5
742.3	4619.67
742.4	4624.84
742.5	4630.01
742.6	4635.18
742.7	4640.35
742.8	4645.52
742.9	4650.69
743.0	4655.86
743.1	4661.03
743.2	4666.2
743.3	4671.37
743.4	4676.54
743.5	4681.71
743.6	4686.88
743.7	4692.05
743.8	4697.22
743.9	4702.39
744.0	4707.56
744.1	4712.73
744.2	4717.9
744.3	4723.07
744.4	4728.24
744.5	4733.41
744.6	4738.58
744.7	4743.75
744.8	4748.92
744.9	4754.09
745.0	4759.26
745.1	4764.43
745.2	4769.6
745.3	4774.77
745.4	4779.94
745.5	4785.11
745.6	4790.28
745.7	4795.45
745.8	4800.62
745.9	4805.79
746.0	4810.96
746.1	4816.13
746.2	4821.3
746.3	4826.47
746.4	4831.64
746.5	4836.81
746.6	4841.98
746.7	4847.15
746.8	4852.32
746.9	4857.49
747.0	4862.66
747.1	4867.83
747.2	4873.0
747.3	4878.17
747.4	4883.34
747.5	4888.51
747.6	4893.68
747.7	4898.85
747.8	4904.02
747.9	4909.19
748.0	4914.36
748.1	4919.48
748.2	4924.5
748.3	4929.42
748.4	4934.24
748.5	4938.96
748.6	4943.59
748.7	4948.12
748.8	4952.55
748.9	4956.88
749.0	4961.11
749.1	4965.25
749.2	4969.29
749.3	4973.23
749.4	4977.07
749.5	4980.81
749.6	4984.46
749.7	4988.01
749.8	4991.46
749.9	4994.81
750.0	4998.06
750.1	5001.22
750.2	5004.28
750.3	5007.24
750.4	5010.1
750.5	5012.86
750.6	5015.53
750.7	5018.1
750.8	5020.57
750.9	5022.94
751.0	5025.21
751.1	5027.39
751.2	5029.47
751.3	5031.45
751.4	5033.33
751.5	5035.11
751.6	5036.8
751.7	5038.39
751.8	5039.88
751.9	5041.27
752.0	5042.56
752.1	5043.76
752.2	5044.86
752.3	5045.86
752.4	5046.76
752.5	5047.56
752.6	5048.27
752.7	5048.88
752.8	5049.39
752.9	5049.8
753.0	5050.11
753.1	5050.33
753.2	5050.45
753.3	5050.47
753.4	5050.47
753.5	5050.47
753.6	5050.47
753.7	5050.47
753.8	5050.47
753.9	5050.47
754.0	5050.47
754.1	5050.47
754.2	5050.47
754.3	5050.47
754.4	5050.47
754.5	5050.47
754.6	5050.47
754.7	5050.47
754.8	5050.47
754.9	5050.47
755.0	5050.47
755.1	5050.47
755.2	5050.47
755.3	5050.47
755.4	5050.47
755.5	5050.47
755.6	5050.47
755.7	5050.47
755.8	5050.47
755.9	5050.47
756.0	5050.47
756.1	5050.47
756.2	5050.47
756.3	5050.47
756.4	5050.47
756.5	5050.47
756.6	5050.47
756.7	5050.47
756.8	5050.47
756.9	5050.47
757.0	5050.47
757.1	5050.47
757.2	5050.47
757.3	5050.47
757.4	5050.47
757.5	5050.47
757.6	5050.47
757.7	5050.47
757.8	5050.47
757.9	5050.47
758.0	5050.47
758.1	5050.47
758.2	5050.47
758.3	5050.47
